number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_dropout_prob,params_gradient_accumulation_steps,params_learning_rate,params_max_length,params_num_epochs,params_threshold,params_token_pooling_ratio,params_weight_decay,state
13,0.538891943459488,2025-12-30 03:19:17.836889,2025-12-30 04:57:43.664852,0 days 01:38:25.827963,4.5,4,2.0,0.1,1,2.4296598679027227e-05,320,28,0.1,0.45,0.04,COMPLETE
16,0.52218613270737,2025-12-30 07:16:34.716545,2025-12-30 08:58:36.210264,0 days 01:42:01.493719,4.5,4,1.6,0.1,1,2.4690859863418446e-05,512,28,0.1,0.45,0.03,COMPLETE
14,0.5184162805806173,2025-12-30 04:57:43.775607,2025-12-30 06:27:26.055385,0 days 01:29:42.279778,4.5,4,1.6,0.1,1,2.412165934478786e-05,384,24,0.15000000000000002,0.45,0.04,COMPLETE
12,0.516133215477838,2025-12-30 01:39:50.379549,2025-12-30 03:19:17.725441,0 days 01:39:27.345892,4.5,4,2.0,0.1,1,2.9868998244515013e-05,384,26,0.15000000000000002,0.45,0.04,COMPLETE
17,0.504606928767692,2025-12-30 08:58:36.273318,2025-12-30 10:53:04.681295,0 days 01:54:28.407977,4.5,4,1.4,0.15000000000000002,1,2.4744997746489218e-05,512,28,0.1,0.5,0.02,COMPLETE
4,0.49736456634977005,2025-12-29 18:25:31.764156,2025-12-29 19:11:20.113412,0 days 00:45:48.349256,4.0,16,1.9,0.05,2,2.957091299390661e-05,320,28,0.1,0.4,0.05,COMPLETE
10,0.49663455891986763,2025-12-29 23:14:49.309778,2025-12-30 00:24:54.315402,0 days 01:10:05.005624,4.0,4,2.0,0.1,1,2.710604568690384e-05,384,26,0.15000000000000002,0.4,0.04,COMPLETE
11,0.48884570304010416,2025-12-30 00:24:54.392832,2025-12-30 01:39:50.295764,0 days 01:14:55.902932,4.0,4,2.0,0.1,1,2.9700225761616125e-05,384,26,0.15000000000000002,0.4,0.04,COMPLETE
15,0.4825357786935427,2025-12-30 06:27:26.116794,2025-12-30 07:16:34.655322,0 days 00:49:08.538528,4.5,4,1.2,0.2,1,2.2778851154699884e-05,256,24,0.2,0.45,0.04,COMPLETE
0,0.4721275615781792,2025-12-29 13:56:19.102964,2025-12-29 15:02:56.373412,0 days 01:06:37.270448,5.0,4,1.8,0.2,2,2.1768899619255662e-05,320,20,0.3,0.25,0.02,COMPLETE
19,0.4670666563349413,2025-12-30 12:41:48.970868,2025-12-30 14:26:11.291083,0 days 01:44:22.320215,5.0,4,1.2,0.15000000000000002,1,2.0774268196195058e-05,448,28,0.1,0.4,0.03,COMPLETE
18,0.444340500066259,2025-12-30 10:53:04.743332,2025-12-30 12:41:48.908772,0 days 01:48:44.165440,4.5,4,1.6,0.1,4,2.5719678926244467e-05,512,30,0.2,0.45,0.03,COMPLETE
3,0.43356295370841214,2025-12-29 17:11:27.084370,2025-12-29 18:25:31.694645,0 days 01:14:04.610275,4.0,16,1.5,0.05,2,1.9287271240439648e-05,448,30,0.1,0.30000000000000004,0.01,COMPLETE
1,0.40040745546815293,2025-12-29 15:02:56.489947,2025-12-29 15:58:55.139149,0 days 00:55:58.649202,4.0,16,1.5,0.15000000000000002,4,1.6504435816626575e-05,256,28,0.1,0.2,0.03,COMPLETE
5,0.3948475190757791,2025-12-29 19:11:20.223956,2025-12-29 20:49:08.727183,0 days 01:37:48.503227,5.0,16,1.0,0.15000000000000002,1,1.4072662606331995e-05,448,22,0.25,0.35000000000000003,0.05,COMPLETE
6,0.3947143983519131,2025-12-29 20:49:08.785846,2025-12-29 21:25:07.274526,0 days 00:35:58.488680,5.0,8,1.8,0.1,1,1.1258416030065911e-05,256,20,0.25,0.5,0.03,COMPLETE
2,0.38926697672123534,2025-12-29 15:58:55.199433,2025-12-29 17:11:27.019574,0 days 01:12:31.820141,4.0,8,1.0,0.05,4,1.6218329147356763e-05,448,20,0.2,0.25,0.05,COMPLETE
9,0.3605478169719653,2025-12-29 22:15:01.406803,2025-12-29 23:14:49.227276,0 days 00:59:47.820473,4.5,8,1.7000000000000002,0.15000000000000002,2,1.3674248061406558e-05,320,20,0.25,0.25,0.01,COMPLETE
7,0.3466352908389403,2025-12-29 21:25:07.332125,2025-12-29 22:13:46.094612,0 days 00:48:38.762487,4.5,16,1.8,0.05,2,2.0054433341204115e-05,320,30,0.3,0.35000000000000003,0.05,COMPLETE
8,0.0,2025-12-29 22:13:46.155121,2025-12-29 22:15:01.343785,0 days 00:01:15.188664,5.0,16,1.3,0.05,2,1.75262254449811e-05,512,24,0.15000000000000002,0.5,0.02,COMPLETE
